Q_No,cbdb_x_coord,cbdb_y_coord,CHGIS_PT_ID,sys_id,uri,traditional Chinese,simplified Chinese,Pinyin,feature_type_name,feature_type_alternate_name,feature_type_eng,temporal_begin,temporal_end,x_longitude,y_latitude,present_location,data source,
Q111992438,103.456825,30.41659,44447,hvd_44447,https://maps.cga.harvard.edu/tgaz/placename/hvd_44447,臨邛縣,临邛县,Linqiong Xian,县,縣,county,553,1284,103.45683,30.41659,"{""country code"": ""cn"", ""text"": ""今四川邛崃市治"", ""source"": ""Fudan"", ""attestation"": """"}",CHGIS,
Q112029179,110.332306,34.835129,95497,hvd_95497,https://maps.cga.harvard.edu/tgaz/placename/hvd_95497,河東縣,河东县,Hedong Xian,县,縣,county,596,1368,110.33231,34.83513,"{""country code"": ""cn"", ""text"": ""今山西永济县西南蒲州镇"", ""source"": ""Fudan"", ""attestation"": """"}",CHGIS,
Q112030723,112.936989,35.089302,82488,hvd_82488,https://maps.cga.harvard.edu/tgaz/placename/hvd_82488,河內縣,河内县,Henei Xian,县,縣,county,596,1911,112.93699,35.0893,"{""country code"": ""cn"", ""text"": ""今河南沁阳市"", ""source"": ""Fudan"", ""attestation"": """"}",CHGIS,
Q112030432,112.9781342,28.19819832,707,hvd_707,https://maps.cga.harvard.edu/tgaz/placename/hvd_707,善化縣,善化县,Shanhua Xian,县,縣,county,1820,1820,112.97813,28.1982,"{""country code"": ""cn"", ""text"": ""湖南长沙市"", ""source"": ""Fudan"", ""attestation"": """"}",CHGIS,
Q112030486,113.7666473,26.4968605,736,hvd_736,https://maps.cga.harvard.edu/tgaz/placename/hvd_736,酃縣,酃县,Ling Xian,县,縣,county,1820,1820,113.76665,26.49686,"{""country code"": ""cn"", ""text"": ""湖南酃县"", ""source"": ""Fudan"", ""attestation"": """"}",CHGIS,
Q112030487,114.398954,27.791904,40968,hvd_40968,https://maps.cga.harvard.edu/tgaz/placename/hvd_40968,宜春縣,宜春县,Yichun Xian,县,縣,county,598,1160,114.39896,27.7919,"{""country code"": ""cn"", ""text"": ""江西宜春市东五里"", ""source"": ""Fudan"", ""attestation"": """"}",CHGIS,
Q112030489,115.366998,37.365629,88082,hvd_88082,https://maps.cga.harvard.edu/tgaz/placename/hvd_88082,南宮縣,南宫县,Nangong Xian,县,縣,county,586,1479,115.367,37.36563,"{""country code"": ""cn"", ""text"": ""今河北南宫市西旧城村"", ""source"": ""Fudan"", ""attestation"": """"}",CHGIS,
Q112030493,115.3722763,28.42559815,793,hvd_793,https://maps.cga.harvard.edu/tgaz/placename/hvd_793,高安縣,高安县,Gao'an Xian,县,縣,county,1820,1820,115.37228,28.4256,"{""country code"": ""cn"", ""text"": ""江西高安县"", ""source"": ""Fudan"", ""attestation"": """"}",CHGIS,
Q112030494,115.586137,37.083669,87956,hvd_87956,https://maps.cga.harvard.edu/tgaz/placename/hvd_87956,清陽縣,清阳县,Qingyang Xian,县,縣,county,735,1070,115.58614,37.08367,"{""country code"": ""cn"", ""text"": ""今河北清河县西北"", ""source"": ""Fudan"", ""attestation"": """"}",CHGIS,
Q112030497,116.282559,35.956072,85710,hvd_85710,https://maps.cga.harvard.edu/tgaz/placename/hvd_85710,東平縣,天平县,Tianping Xian,县,縣,county,830,831,116.28256,35.95607,"{""country code"": ""cn"", ""text"": ""今东平县西埠子坡村"", ""source"": ""Fudan"", ""attestation"": """"}",CHGIS,
Q112030498,116.3513413,27.98478127,800,hvd_800,https://maps.cga.harvard.edu/tgaz/placename/hvd_800,臨川縣,临川县,Linchuan Xian,县,縣,county,1820,1820,116.35134,27.98478,"{""country code"": ""cn"", ""text"": ""江西临川市"", ""source"": ""Fudan"", ""attestation"": """"}",CHGIS,
Q112030501,119.011101,25.433954,40298,hvd_40298,https://maps.cga.harvard.edu/tgaz/placename/hvd_40298,莆田縣,莆田县,Putian Xian,县,縣,county,622,1911,119.0111,25.43395,"{""country code"": ""cn"", ""text"": ""福建省莆田市"", ""source"": ""Fudan"", ""attestation"": """"}",CHGIS,
Q112030503,119.8836746,29.45870781,40715,hvd_40715,https://maps.cga.harvard.edu/tgaz/placename/hvd_40715,浦江縣,浦江县,Pujiang Xian,县,縣,county,910,1911,119.88367,29.45871,"{""country code"": ""cn"", ""text"": ""治今浙江浦江县"", ""source"": ""Fudan"", ""attestation"": """"}",CHGIS,
Q112030505,120.973587,29.95265389,40774,hvd_40774,https://maps.cga.harvard.edu/tgaz/placename/hvd_40774,上虞縣,上虞县,Shangyu Xian,县,縣,county,822,1911,120.97359,29.95265,"{""country code"": ""cn"", ""text"": ""治今浙江上虞县丰惠镇"", ""source"": ""Fudan"", ""attestation"": """"}",CHGIS,
Q112030507,121.0123444,30.70421982,40061,hvd_40061,https://maps.cga.harvard.edu/tgaz/placename/hvd_40061,平湖縣,平湖县,Pinghu Xian,县,縣,county,1430,1911,121.01234,30.70422,"{""country code"": ""cn"", ""text"": ""今浙江平湖市治"", ""source"": ""Fudan"", ""attestation"": """"}",CHGIS,
Q112030508,121.0986328,31.45100021,32082,hvd_32082,https://maps.cga.harvard.edu/tgaz/placename/hvd_32082,太倉州,太仓州,Taicang Zhou,直隶州,直隸州,independent prefecture,1724,1911,121.09863,31.451,"{""country code"": ""cn"", ""text"": ""今江苏太仓县城区"", ""source"": ""Fudan"", ""attestation"": """"}",CHGIS,
Q112030510,121.0986328,31.45100021,40427,hvd_40427,https://maps.cga.harvard.edu/tgaz/placename/hvd_40427,鎮洋縣,镇洋县,Zhenyang Xian,县,縣,county,1724,1911,121.09863,31.451,"{""country code"": ""cn"", ""text"": ""今江苏太仓县"", ""source"": ""Fudan"", ""attestation"": """"}",CHGIS,
Q112030512,121.1205978,28.84313202,40657,hvd_40657,https://maps.cga.harvard.edu/tgaz/placename/hvd_40657,臨海縣,临海县,Linhai Xian,县,縣,county,257,1911,121.1206,28.84313,"{""country code"": ""cn"", ""text"": ""今浙江临海市"", ""source"": ""Fudan"", ""attestation"": """"}",CHGIS,
Q112030724,121.227638,31.009476,40495,hvd_40495,https://maps.cga.harvard.edu/tgaz/placename/hvd_40495,華亭縣,华亭县,Huating Xian,县,縣,county,1278,1911,121.22764,31.00948,"{""country code"": ""cn"", ""text"": ""上海市松江县松江镇"", ""source"": ""Fudan"", ""attestation"": """"}",CHGIS,
Q112030725,121.2583542,28.64261246,40653,hvd_40653,https://maps.cga.harvard.edu/tgaz/placename/hvd_40653,黃巖縣,黄岩县,Huangyan Xian,县,縣,county,1370,1911,121.25835,28.64261,"{""country code"": ""cn"", ""text"": ""今浙江黄岩市"", ""source"": ""Fudan"", ""attestation"": """"}",CHGIS,
